,index,Name1,Name2,Street1,Street2,City,State,Zip,Phone,Intake1,Intake2,Intake1a,Intake2a,Service_code_info,lat,long
0,0,SpectraCare Health Systems,Henry County Clinic,219 Dothan Road,,Abbeville,AL,36310,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SMHA SWFS * SS * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PTSD SED SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS CM SPS ES,31.573584286885243,-85.23400816721312
1,1,SpectraCare Health Systems,Henry County Day Treatment,1242 US Highway 431 South,,Abbeville,AL,36310,800-951-4357,334-951-4357,,,,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ANTPYCH * CBT CFT GT IDD IPT TELE * PEON * PVTN * CLF CMHG CSBG MC MD MI OSF PI SEF SF SMHA * SS * SE CO SMI * SMPD * YAD ADLT SNR * AH * VPPD * COOT DEC FPSY IMR PRS VRS CM SPS ES,31.573584286885243,-85.23400816721312
2,2,South Central Alabama MHC,Covington County Mental Health Center,19815 Bay Branch Road,,Andalusia,AL,36420,334-222-2523,877-530-0002,,,,MH SUMH * OP * CMHC * FLUPH HALOP PERPH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * STU * TBS MST LABT * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY PRS SH CM SPS,31.303952373023254,-86.4802309967442
3,3,South Central Alabama MHC,Montezuma Complex,205 Academy Drive,,Andalusia,AL,36420,334-428-5050,877-530-0002,,,,SA MH SUMH * OP PHDT RES * MSMH * FLUPH HALOP PERPH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * PVTN * CMHG MC MD PI SF SMHA * PA SS * SED SMI * STU * TBS MST LABT * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY PRS SH CM IPC,31.303952373023254,-86.4802309967442
4,4,RMC Health System,Regional Medical Center,400 East 10th Street,,Anniston,AL,36207,256-235-5121,256-235-5082,256-235-5482,,,SA MH * HI * IPSY * CHLOR FLUPH HALOP LOXAP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IPT AIM * CIT PEON * PVTN * MC MD MI PI SF SI SMHA VAF * SE VET CO HV DV TRMA ALZ PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT CM IPC SPS ES,33.65155845887681,-85.78122011032609
5,5,SpectraCare Health Systems,Cottonwood Specialized Care,1539 Sweetie Smith Road,,Ashford,AL,36312,334-691-8030,800-951-4357,,,,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT GT IDD TELE * PEON * PVTN * CLF CMHG CSBG MC MD MI PI SCJJ SEF SF SI SMHA SWFS * SS * SE GL VET MF CJ CO HV TRMA PTSD SMI * TCC * SMPD * YAD ADLT SNR * AH * VPPD * COOT DEC FPSY LAD PRS CM IPC SPS,31.173326029545457,-85.2451813719697
6,6,MHCNCA Inc,Athens Limestone Counseling Center,1307 East Elm Street,,Athens,AL,35611,256-232-3661,256-355-5904,800-365-6008,,,MH SUMH * OP PHDT * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * TAY SE CJ CO SED SMI * STU * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY CM,34.79151040915805,-87.0041312445347
7,7,Cherokee Etowah Dekalb CMHC,Etowah County Office,1425 Rainbow Drive,,Attalla,AL,35901,256-492-7800,,,,,SA MH SUMH * OP * CMHC * ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT WI * PVTN * CMHG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * TBS * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT ICM SH CM,34.017512545596595,-85.98453648451705
8,8,Medical West,An Affiliate of the UAB Health System,995 9th Avenue SW,,Bessemer,AL,35022,205-481-7000,205-481-7145,205-481-7661,,,MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP PERPH PIMOZ PROCH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT GT IPT * CIT PEON * STG * MC MD PI SF SI VAF * SE * SMON * SNR * VAPN * COOT DEC PRS CM IPC,33.34577793871636,-86.96052787908903
9,9,Birmingham VA HealthCare System,Birmingham VA East Clinic,7901 Crestwood Boulevard,,Birmingham,AL,35210,205-933-8101,205-933-8101 x33550,205-933-8101 x2232,,,SA MH SUMH * OP PHDT * VAHC * NRT * CBT CFT DBT GT IDD IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET MF SMI * STU * LABT * HS PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * COOT DEC FPSY ICM SH CM ES,33.53454702734375,-86.68749478945313
10,10,Eastlake Group Homes,,7744 1st Avenue South,,Birmingham,AL,35206,205-836-6538,205-595-4555,,,,MH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH ARIPI BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IPT TELE AIM * PVTN * CMHG MD SF SMHA * SMI * TBS MST LABT * HS PEER * SMPD * YAD ADLT SNR * VAPN * CDM DEC FPSY IMR PRS,33.56748523641851,-86.72200845392354
11,11,Eastside CMHC,Jefferson County,129 East Park Circle,,Birmingham,AL,35235,205-836-7283,,,,,MH * OP PHDT * CMHC * HALOP ARIPI OLANZ QUETI RISPE ANTPYCH * CFT GT IPT TELE * CIT * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA * SS * TAY SE CO SED SMI * STU * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT FPSY IMR PRS,33.6193065872781,-86.65862873461539
12,12,Gateway,,1401 20th Street South,,Birmingham,AL,35205,205-510-2600,,,,,MH SUMH * OP * AT CFT GT IPT TELE * PVTN * MD * TAY TRMA SED * HS * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * FPSY TPC CM ES,33.49835494932976,-86.81373282372655
13,13,Glenwood Inc,Main Campus,150 Glenwood Lane,,Birmingham,AL,35242,205-969-2880,,,,,MH SUMH * OP PHDT RES * MSMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ANTPYCH * AT CBT CFT GT IDD IPT TELE * PEON * PVTN * MC MD MI OSF PI SEF SF SI SMHA SWFS * SS * TAY TRMA SED * MST LABT * SMON * CHLD YAD ADLT SNR * AH * VAPN * DEC FPSY PRS SEMP VRS ES,33.41344587260826,-86.6772655652568
14,14,Princeton Baptist Medical Center,,701 Princeton Avenue SW,,Birmingham,AL,35211,205-783-3650,,,,,MH * HI * IPSY * CHLOR HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT TELE * WI * PVTP * CLF CMHG CSBG ITU MC MD MI OSF PI SF SI SMHA VAF * SE VET CO ALZ PTSD * STU * MST LABT * TCC * SMON * SNR * AH * VAPN * CDM COOT DEC FPSY ICM IMR PRS CM IPC SPS ES,33.47568668140703,-86.85909428592964
15,15,Rehabilitation Day Program,Jasper House,2112 Avenue,Suite H,Birmingham,AL,35218,205-324-9822,,,,,MH SUMH * RES * RTCA * HALOP LOXAP CLOZA OLANZ PALIP QUETI RISPE ANTPYCH * AT CBT GT * CIT * PVTN * MC MD SF * HV SMI * STDT TBS * TCC * SMPD * YAD ADLT SNR * AH * VPPD * PRS SH CM,33.50723066081871,-86.89202688479531
16,16,Serenity Treatment Services,,85 Bagby Drive,Suite 218,Birmingham,AL,35209,205-917-9034,205-834-4448,,,,SA MH * OP * CBT DBT GT IDD IPT TELE * PVTN * SF SMHA SWFS * SS * CJ TRMA * SMPD * YAD ADLT SNR * VPPD * COOT CM ES,33.47021794682861,-86.80852712982457
17,17,Taproot Therapy Collective,,2025 Shady Crest Drive,2nd Floor,Birmingham,AL,35216,205-999-9240,205-598-6471,,,,SA MH SUMH * OP * OMH * AT CBT CFT DBT EMDR GT IPT TELE * PVTP * PI SF * SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * ACT FPSY SPS,33.419336143032154,-86.79058555283308
