index,Measure,12+,12-17,18-25,26+,18+,states
1,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",403,17,98,288,386,Alabama
2,Marijuana Use in the Past Year,537,30,152,355,507,Alabama
3,Marijuana Use in the Past Month,315,16,90,209,299,Alabama
4,Perceptions of Great Risk from Smoking Marijuana Once a Month,"1,128",105,83,940,"1,023",Alabama
6,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",40,15,20,6,25,Alabama
7,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",132,7,20,105,125,Alabama
8,Cocaine Use in the Past Year,67,1,14,52,66,Alabama
9,Perceptions of Great Risk from Using Cocaine Once a Month,"3,066",210,334,"2,522","2,856",Alabama
10,Heroin Use in the Past Year5,0,0,2,12,14,Alabama
11,Perceptions of Great Risk from Trying Heroin Once or Twice,"3,567",236,402,"2,929","3,331",Alabama
12,Methamphetamine Use in the Past Year,65,1,2,62,64,Alabama
13,Prescription Pain Reliever Misuse in the Past Year2,159,7,16,135,151,Alabama
14,"Opioid Misuse in the Past Year2,6",175,7,17,150,167,Alabama
16,ALCOHOL Alcohol Use in the Past Month,"1,636",24,202,"1,411","1,613",Alabama
17,Binge Alcohol Use in the Past Month7,798,14,119,666,785,Alabama
19,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"1,862",170,208,"1,484","1,692",Alabama
20,Alcohol Use in the Past Month8 (People Aged 12 to 20),71,0,0,0,0,Alabama
21,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",39,0,0,0,0,Alabama
23,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,"1,062",11,96,955,"1,051",Alabama
24,Cigarette Use in the Past Month,698,5,58,635,693,Alabama
25,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"2,769",253,316,"2,200","2,516",Alabama
27,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,150,717,867,Alabama
28,"Serious Mental Illness4,10",0,0,61,182,243,Alabama
29,Received Mental Health Services11,0,0,96,549,645,Alabama
30,"Major Depressive Episode4,12",0,75,81,253,334,Alabama
31,Had Serious Thoughts of Suicide,0,0,71,123,194,Alabama
32,Made Any Suicide Plans,0,0,22,21,43,Alabama
33,Attempted Suicide,0,0,16,18,33,Alabama
35,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",367.0,22.0,72.0,273.0,345.0,Alabama
36,"Pain Reliever Use Disorder1,3",109.0,4.0,7.0,97.0,104.0,Alabama
37,"Opioid Use Disorder1,3,4",136.0,5.0,9.0,122.0,131.0,Alabama
38,Alcohol Use Disorder1,390.0,11.0,69.0,309.0,379.0,Alabama
39,"Substance Use Disorder1,2",660.0,30.0,128.0,502.0,629.0,Alabama
40,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",269.0,18.0,62.0,188.0,250.0,Alabama
41,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,407.0,14.0,66.0,328.0,394.0,Alabama
42,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",517.0,25.0,113.0,379.0,492.0,Alabama
44,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",127,6,22,99,121,Alaska
45,Marijuana Use in the Past Year,158,11,28,119,147,Alaska
46,Marijuana Use in the Past Month,122,4,23,96,119,Alaska
47,Perceptions of Great Risk from Smoking Marijuana Once a Month,102,9,7,86,93,Alaska
49,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",9,3,3,3,6,Alaska
50,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",18,1,3,15,17,Alaska
51,Cocaine Use in the Past Year,12,1,2,9,11,Alaska
